Difference (Minutes),1,,Difference (Minutes),1
Enc_Transit_Date__3/9/2020,0.005200755,,Enc_Stop_Sequence__10604,0.008683149
Enc_Transit_Date__4/1/2020,-0.009852202,,Enc_Day_of_Week__3954,0.008632986
Enc_Transit_Date__4/10/2020,-0.008194831,,Enc_Stop_Sequence__10803,0.0083897
Enc_Transit_Date__4/11/2020,-0.003588407,,Enc_Transit_Date__1/13/2020,0.008376413
Enc_Transit_Date__4/13/2020,-0.012832364,,Enc_Transit_Date__10/24/2020,0.008297441
Enc_Transit_Date__4/14/2020,-0.009449518,,Enc_Stop_ID__37.885,0.008224691
Enc_Transit_Date__4/15/2020,-0.008284244,,Enc_Transit_Date__10/10/2020,0.008206928
Enc_Transit_Date__4/16/2020,-0.007040045,,Enc_Day_of_Week__4984,0.008155827
Enc_Transit_Date__4/17/2020,-0.007325622,,Enc_Day_of_Week__5054,0.007952413
Enc_Transit_Date__4/18/2020,-0.003264873,,Enc_Day_of_Week__5047,0.007898924
Enc_Transit_Date__4/2/2020,-0.013497658,,Enc_Day_of_Week__4519,0.007897223
Enc_Transit_Date__4/20/2020,-0.00690216,,Enc_Stop_Sequence__10267,0.007859014
Enc_Transit_Date__4/21/2020,-0.005826644,,Enc_Stop_Sequence__10269,0.007837025
Enc_Transit_Date__4/22/2020,-0.011571792,,Enc_Day_of_Week__4810,0.007836702
Enc_Transit_Date__4/23/2020,-0.010932206,,Enc_Actual_Hour_Depart__13,0.007835564
Enc_Transit_Date__4/24/2020,-0.006879247,,Enc_Stop_Sequence__10227,0.007781971
Enc_Transit_Date__4/25/2020,-0.00052866,,Enc_Day_of_Week__5065,0.007657615
Enc_Transit_Date__4/26/2020,-0.005432516,,Enc_Day_of_Week__4739,0.007614413
Enc_Transit_Date__4/28/2020,-0.004520852,,Enc_Day_of_Week__3676,0.007605591
Enc_Transit_Date__4/29/2020,-0.002739261,,Enc_Stop_Sequence__10250,0.007603518
Enc_Transit_Date__4/3/2020,-0.014797706,,Enc_Day_of_Week__4481,0.007545068
Enc_Transit_Date__4/30/2020,-0.00270909,,Enc_Day_of_Week__5118,0.007396701
Enc_Transit_Date__4/6/2020,-0.003644622,,Enc_Day_of_Week__4576,0.007306872
Enc_Transit_Date__4/7/2020,-0.003789974,,Enc_Day_of_Week__5018,0.007194893
Enc_Transit_Date__4/8/2020,-0.007624682,,Enc_Day_of_Week__4492,0.007157356
Enc_Transit_Date__4/9/2020,-0.011049393,,Enc_Day_of_Week__5135,0.007139457
Enc_Transit_Date__5/1/2020,-0.003405578,,Enc_Day_of_Week__3272,0.007105698
Enc_Transit_Date__5/10/2020,0.005631607,,Enc_Transit_Date__1/16/2020,0.007098795
Enc_Transit_Date__5/11/2020,-0.004528979,,Enc_Day_of_Week__4803,0.007071126
Enc_Transit_Date__5/12/2020,-0.000758366,,Enc_Transit_Date__2/28/2020,0.007010825
Enc_Transit_Date__5/13/2020,-0.004825015,,Enc_Day_of_Week__5083,0.007010365
Enc_Transit_Date__5/14/2020,-0.007412149,,Enc_Stop_Sequence__10891,0.00692778
Enc_Transit_Date__5/15/2020,-0.00727511,,Enc_Transit_Date__7/4/2020,0.006899025
Enc_Transit_Date__5/16/2020,0.001367914,,Enc_Transit_Date__1/10/2020,0.006834072
Enc_Transit_Date__5/17/2020,0.000345983,,Enc_Day_of_Week__4080,0.006796609
Enc_Transit_Date__5/19/2020,0.000577882,,Enc_Day_of_Week__5076,0.00663898
Enc_Transit_Date__5/2/2020,0.001259955,,Enc_Transit_Date__10/11/2020,0.0066196
Enc_Transit_Date__5/20/2020,-0.00557433,,Enc_Day_of_Week__4859,0.00656035
Enc_Transit_Date__5/21/2020,-0.007805459,,Enc_Badge_#__8,0.006550757
Enc_Transit_Date__5/22/2020,-0.01043346,,Enc_Transit_Date__2/8/2020,0.00654558
