Feature \ Route,187 2019,,,,,
Enc_Badge__4918.0,0.006619242,,,,,
Enc_Badge__4919.0,0.003573309,,,,,
Enc_Badge__4920.0,-0.000972574,,,,,
Enc_Badge__4921.0,-0.018723758,,,,,
Enc_Badge__4922.0,-0.007706514,,,,,
Enc_Badge__4923.0,0.015199259,,,,,
Enc_Badge__4925.0,-0.005586277,,,,,
Enc_Badge__4926.0,0.018082135,,,,,
Enc_Badge__4927.0,-0.006915783,,,,,
Enc_Badge__4928.0,-0.025158689,,,,,
Enc_Badge__4929.0,0.054432431,,,,,
Enc_Badge__4931.0,0.017510103,,,,,
Enc_Badge__4933.0,0.004255392,,,,,
Enc_Badge__4934.0,-0.001380149,,,,,
Enc_Badge__4935.0,-0.006677708,,,,,
Enc_Badge__4936.0,0.012709243,,,,,
Enc_Badge__4937.0,0.012194551,,,,,
Enc_Badge__4939.0,0.005737001,,,,,
Enc_Badge__4941.0,0.009908732,,,,,
Enc_Badge__4946.0,-0.016973525,,,,,
Enc_Badge__4947.0,0.003111358,,,,,
Enc_Badge__4948.0,0.043851296,,,,,
Enc_Badge__4949.0,0.041031913,,,,,
Enc_Badge__4950.0,0.003139669,,,,,
Enc_Badge__4951.0,-0.007260683,,,,,
Enc_Badge__4953.0,-0.000441197,,,,,
Enc_Badge__4954.0,0.005072131,,,,,
Enc_Badge__4955.0,0.015523992,,,,,
Enc_Badge__4956.0,-0.004061431,,,,,
Enc_Badge__4957.0,-0.002997286,,,,,
Enc_Badge__4958.0,-0.00426204,,,,,
Enc_Badge__4960.0,-0.007046329,,,,,
Enc_Badge__4961.0,-0.002675166,,,,,
Enc_Badge__4962.0,0.002660234,,,,,
Enc_Badge__4963.0,0.019071705,,,,,
Enc_Badge__4964.0,-0.000217843,,,,,
Enc_Badge__4965.0,0.002411,,,,,
Enc_Badge__4966.0,0.005846539,,,,,
Enc_Badge__4968.0,0.015949971,,,,,
Enc_Badge__4969.0,0.006987527,,,,,
Enc_Badge__4970.0,-0.011020811,,,,,
Enc_Badge__4975.0,-0.000563369,,,,,
Enc_Badge__4976.0,0.017652794,,,,,
Enc_Badge__4977.0,0.009439327,,,,,
Enc_Badge__4979.0,0.00610225,,,,,
Enc_Badge__4982.0,0.004239353,,,,,
Enc_Badge__4983.0,0.006039335,,,,,
Enc_Badge__4984.0,-0.000359969,,,,,
Enc_Badge__4985.0,-0.002711012,,,,,
Enc_Badge__4987.0,0.010568328,,,,,
Enc_Badge__4988.0,-0.012054171,,,,,
Enc_Badge__4992.0,0.011537995,,,,,
Enc_Badge__4993.0,0.012496996,,,,,
Enc_Badge__4995.0,0.002565567,,,,,
Enc_Badge__4996.0,-0.005390108,,,,,
Enc_Badge__4997.0,-0.004910099,,,,,
Enc_Badge__4999.0,0.012172828,,,,,
Enc_Badge__5000.0,0.003926689,,,,,
Enc_Badge__5002.0,0.010831638,,,,,
Enc_Badge__5003.0,0.01076781,,,,,
Enc_Badge__5004.0,0.005084948,,,,,
Enc_Badge__5005.0,0.001753266,,,,,
Enc_Badge__5007.0,-0.002286229,,,,,
Enc_Badge__5009.0,0.021985545,,,,,
Enc_Badge__5010.0,-0.01142048,,,,,
